timestamp,est_e,est_n,est_heading,est_gyro_bias,external_e,external_n,true_e,true_n,true_heading,detected_step
0.0000,0.00000000,0.00000000,-0.01593896,0.01491706,,,0.00000000,0.00000000,0.00000000,0
0.0100,0.00000000,0.00000000,-0.00465843,0.01490910,,,0.00000000,0.00000000,0.00000000,0
0.0200,0.00000000,0.00000000,-0.00328027,0.01490633,,,0.00000000,0.00000000,0.00000000,0
0.0300,0.00000000,0.00000000,-0.00639121,0.01491870,,,0.00000000,0.00000000,0.00000000,0
0.0400,0.00000000,0.00000000,0.00023579,0.01487550,,,0.00000000,0.00000000,0.00000000,0
0.0500,0.00000000,0.00000000,-0.00108252,0.01488825,,,0.00000000,0.00000000,0.00000000,0
0.0600,0.00000000,0.00000000,-0.00188743,0.01489947,,,0.00000000,0.00000000,0.00000000,0
0.0700,0.00000000,0.00000000,-0.00023053,0.01487113,,,0.00000000,0.00000000,0.00000000,0
0.0800,0.00000000,0.00000000,-0.00046838,0.01487614,,,0.00000000,0.00000000,0.00000000,0
0.0900,0.00000000,0.00000000,0.00019880,0.01486081,,,0.00000000,0.00000000,0.00000000,0
0.1000,0.00000000,0.00000000,0.00070848,0.01484435,,,0.00000000,0.00000000,0.00000000,0
0.1100,0.00000000,0.00000000,0.00019774,0.01486398,,,0.00000000,0.00000000,0.00000000,0
0.1200,0.00000000,0.00000000,0.00124521,0.01481485,,,0.00000000,0.00000000,0.00000000,0
0.1300,0.00000000,0.00000000,0.00411893,0.01466190,,,0.00000000,0.00000000,0.00000000,0
0.1400,0.00000000,0.00000000,0.00462758,0.01463348,,,0.00000000,0.00000000,0.00000000,0
0.1500,0.00000000,0.00000000,0.00453866,0.01463232,,,0.00000000,0.00000000,0.00000000,0
0.1600,0.00000000,0.00000000,0.00289702,0.01475481,,,0.00000000,0.00000000,0.00000000,0
0.1700,0.00000000,0.00000000,0.00116862,0.01489344,,,0.00000000,0.00000000,0.00000000,0
0.1800,0.00000000,0.00000000,0.00102474,0.01490586,,,0.00000000,0.00000000,0.00000000,0
0.1900,0.00000000,0.00000000,0.00090414,0.01491760,,,0.00000000,0.00000000,0.00000000,0
0.2000,0.00000000,0.00000000,0.00048067,0.01495760,,,0.00000000,0.00000000,0.00000000,0
0.2100,0.00000000,0.00000000,-0.00029146,0.01504228,,,0.00000000,0.00000000,0.00000000,0
0.2200,0.00000000,0.00000000,-0.00015184,0.01503066,,,0.00000000,0.00000000,0.00000000,0
0.2300,0.00000000,0.00000000,0.00065478,0.01492115,,,0.00000000,0.00000000,0.00000000,0
0.2400,0.00000000,0.00000000,0.00158011,0.01479111,,,0.00000000,0.00000000,0.00000000,0
0.2500,0.00000000,0.00000000,0.00276262,0.01461363,,,0.00000000,0.00000000,0.00000000,0
0.2600,0.00000000,0.00000000,0.00147978,0.01482012,,,0.00000000,0.00000000,0.00000000,0
0.2700,0.00000000,0.00000000,0.00227803,0.01469604,,,0.00000000,0.00000000,0.00000000,0
0.2800,0.00000000,0.00000000,0.00281548,0.01460930,,,0.00000000,0.00000000,0.00000000,0
0.2900,0.00000000,0.00000000,0.00324588,0.01453567,,,0.00000000,0.00000000,0.00000000,0
0.3000,0.00000000,0.00000000,0.00343302,0.01450495,,,0.00000000,0.00000000,0.00000000,0
0.3100,0.00000000,0.00000000,0.00293765,0.01459401,,,0.00000000,0.00000000,0.00000000,0
0.3200,0.00000000,0.00000000,0.00324493,0.01454201,,,0.00000000,0.00000000,0.00000000,0
0.3300,0.00000000,0.00000000,0.00398539,0.01438224,,,0.00000000,0.00000000,0.00000000,0
